,Symbol
337,BRNL
338,BROOKS
339,BSE
340,BSES
341,BSHSL
342,BSL
343,BSLGOLDETF
344,BSLNIFTY
345,BSOFT
346,BTML
347,BURGERKING
348,BURNPUR
349,BUTTERFLY
350,BVCL
351,BYKE
352,CADILAHC
353,CALSOFT
354,CAMBRIDGE
355,CAMLIN
356,CAMLINFINE
357,CAMPUS
358,CAMS
359,CANBK
360,CANFINHOME
361,CANTABIL
362,CAPACITE
363,CAPLIPOINT
364,CAPTRUST
365,CARBORUNIV
366,CAREERP
367,CARERATING
368,CARTRADE
369,CARYSIL
370,CASTROLIND
371,CCHHL
372,CCL
373,CDSL
374,CEATLTD
375,CEBBCO
376,CELEBRITY
377,CELLO
378,CENTENKA
379,CENTEXT
380,CENTRALBK
381,CENTRUM
382,CENTUM
383,CENTURYPLY
384,CENTURYTEX
385,CERA
386,CEREBRAINT
387,CESC
388,CESCVENT
389,CGCL
390,CGIGARSH
391,CGPOWER
392,CHALET
393,CHAMBLFERT
394,CHEMBOND
395,CHEMCON
396,CHEMFAB
397,CHEMPLASTS
398,CHENNPETRO
399,CHEVIOT
400,CHLORIDIND
401,CHOICEIN
402,CHOLADBS
403,CHOLAFIN
404,CHOLAHLDNG
405,CHOLAINV
406,CIEINDIA
407,CIGNITITEC
408,CINELINE
409,CINEPRO
410,CINEVISTA
411,CIPLA
412,CLEAN
413,CLEDUCATE
414,CLNINDIA
415,CLSEL
416,CMSINFO
417,COALINDIA
418,COASTCORP
419,COATESIND
420,COCHINSHIP
421,COFFEEDAY
422,COFORGE
423,COLORCHEM
424,COLORCHIPS
425,COLPAL
426,COMPINFO
427,COMPUSOFT
428,CONCOR
429,CONCORDBIO
430,CONFIPET
431,CONSCOFFEE
432,CONSOFINVT
433,CONSUMBEES
434,CONTROLPR
435,CORALFINAC
436,CORDSCABLE
437,COREBIO
438,COREEMBLG
439,COROMANDEL
440,COROMNFERT
441,COSMOFILMS
442,COSMOFIRST
443,COUNCODOS
444,CPIL
445,CPSEETF
446,CRAFTSMAN
447,CREATIVE
448,CREATIVEYE
449,CREDITACC
450,CREST
451,CRISIL
452,CROMPGREAV
453,CROMPTON
454,CROWN
455,CSBBANK
456,CSLFINANCE
457,CTE
458,CUB
459,CUBEXTUB
460,CUMMINSIND
461,CUPID
462,CYBERMEDIA
463,CYBERTECH
464,CYIENT
465,CYIENTDLM
466,D-LINK
467,DAAWAT
468,DABUR
469,DALALSTCOM
470,DALBHARAT
471,DALMIACEM
472,DALMIASUG
473,DAMODARIND
474,DANGEE
475,DATAMATICS
476,DATAPATTNS
477,DATATECH
478,DBCORP
479,DBL
480,DBOL
481,DBREALTY
482,DBSTOCKBRO
483,DCAL
484,DCB
485,DCBBANK
486,DCI
487,DCM
488,DCMFINSERV
489,DCMNVL
490,DCMSHRIRAM
491,DCMSRIND
492,DCMSRMCONS
493,DCW
494,DCXINDIA
495,DECCANCE
496,DEEPAKFERT
497,DEEPAKNTR
498,DEEPENR
499,DEEPIND
500,DEEPINDS
501,DELHIVERY
502,DELPHIFX
503,DELTACORP
504,DELTAMAGNT
505,DEN
506,DENORA
507,DEVIT
508,DEVYANI
509,DGCONTENT
510,DHAMPURSUG
511,DHANBANK
512,DHANI
513,DHANUKA
514,DHARAMSI
515,DHARMAJ
516,DHRUV
517,DHUNINV
518,DIACABS
519,DIAMINESQ
520,DIAMONDYD
521,DICIND
522,DIGISPICE
523,DIGJAMLMTD
524,DIL
525,DISHTV
526,DIVGIITTS
527,DIVISLAB
528,DIVOPPBEES
529,DIXON
530,DJML
531,DLF
532,DLINKINDIA
533,DMART
534,DMCC
535,DNAMEDIA
536,DODLA
537,DOLAT
538,DOLATALGO
539,DOLLAR
540,DOLPHIN
541,DONEAR
542,DPABHUSHAN
543,DPSCLTD
544,DPWIRES
545,DRCSYSTEMS
546,DREAMFOLKS
547,DREDGECORP
548,DRREDDY
549,DSSL
550,DTIL
551,DUCON
552,DVL
553,DWARKESH
554,DYCL
555,DYNAMATECH
556,DYNATECH
557,DYNPRO
558,E2E
559,EASEMYTRIP
560,EASTSILK
561,EBANK
562,EBBETF0423
563,EBBETF0425
564,EBBETF0430
565,EBBETF0431
566,ECLERX
567,EDELWEISS
568,EDUCOMP
569,EICHERMOT
570,EIDPARRY
571,EIFFL
572,EIHAHOTELS
573,EIHOTEL
574,EIMCOELECO
575,EKC
576,ELDEHSG
577,ELECON
578,ELECTCAST
579,ELECTHERM
580,ELGIEQUIP
581,ELGIRUBCO
582,ELIN
583,EMAMIINFRA
584,EMAMILTD
585,EMAMIPAP
586,EMAMIREAL
587,EMERCK
588,EMIL
589,EMKAY
590,EMMBI
591,EMSLIMITED
592,EMUDHRA
593,ENDURANCE
594,ENERGYDEV
595,ENGINERSIN
596,ENIL
597,ENKEI
598,EPIGRAL
599,EPL
600,EQUIPPP
601,EQUITASBNK
602,ERIS
603,EROSMEDIA
604,ESABINDIA
605,ESAFSFB
606,ESCORTS
607,ESSARSHPNG
608,ESSELPACK
609,ESSENTIA
610,ESTER
611,ETERNEVRST
612,ETHOSLTD
613,EUROTEXIND
614,EVEREADY
615,EVERESTIND
616,EXCEL
617,EXCELINDUS
618,EXCELINFO
619,EXIDEIND
620,EXPLEOSOL
621,EXXARO
622,FACT
623,FAGBEARING
624,FAGPRECISN
625,FAIRCHEM
626,FAIRCHEMOR
627,FAZE3Q
628,FCEL
629,FCL
630,FCONSUMER
631,FCSSOFT
632,FDC
633,FEDERALBNK
634,FIBERWEB
635,FIEMIND
636,FILATEX
637,FINANTECH
638,FINCABLES
639,FINEORG
640,FINOPB
641,FINPIPE
642,FIVESTAR
643,FLEX
644,FLEXITUFF
645,FLFL
646,FLUOROCHEM
647,FMGOETZE
648,FOCUS
649,FOODSIN
650,FORTIS
651,FORTUNEFIN
652,FOSECOIND
653,FRETAIL
654,FSC
655,FSL
656,FUJITSICIM
657,FUSION
658,FVIL
659,GABRIEL
660,GAEL
661,GAIL
662,GAL
663,GALAXYSURF
664,GALLANTT
665,GANECOS
666,GANESHBE
667,GANESHHOUC
668,GANGAFORGE
669,GANGESSECU
670,GARFIBRES
671,GARWALLROP
672,GATECHDVR
673,GATEWAY
674,GATI
675,GAYAPROJ
676,GBN
677,GEECEE
678,GEEKAYWIRE
679,GENCON
680,GENESYS
681,GENSOL
682,GENUSOVERE
683,GENUSPAPER
684,GENUSPOWER
685,GEOJIT
686,GEOJITBNPP
687,GEOJITFSL
688,GEPIL
689,GESCOCORP
690,GESHIP
691,GET&D
692,GFLLIMITED
693,GHCLTEXTIL
694,GICHSGFIN
695,GICRE
696,GILLANDERS
697,GILLETTE
698,GINNIFILA
699,GIPCL
700,GISOLUTION
701,GKWLIMITED
702,GLAND
703,GLAXO
704,GLENMARK
705,GLFL
706,GLOBAL
707,GLOBALTELE
708,GLOBALVECT
709,GLOBE
710,GLOBUSSPR
711,GLS
712,GMBREW
713,GMDCLTD
714,GMMPFAUDLR
715,GMRINFRA
716,GMRP&UI
717,GNA
718,GNFC
719,GOACARBON
720,GOCLCORP
721,GOCOLORS
722,GODFRYPHLP
723,GODHA
724,GODREJAGRO
725,GODREJCP
726,GODREJIND
727,GODREJPROP
728,GOETZEIND
729,GOKEX
730,GOKUL
731,GOKULAGRO
732,GOLDBEES
733,GOLDENTOBC
734,GOLDIAM
735,GOLDINFRA
736,GOLDIWIN
737,GOLDSHARE
738,GOLDTECH
739,GOLDTELE
740,GOODLASNER
741,GOODLUCK
742,GOYALALUM
743,GPELECT
744,GPIL
745,GPPL
746,GPTINFRA
747,GRAMOPHONE
748,GRANULES
749,GRAPHITE
750,GRASIM
751,GRAVITA
752,GREAVESCOT
753,GREENLAM
754,GREENPANEL
755,GREENPLY
756,GREENPOWER
757,GRINDWELL
758,GRINFRA
759,GRMOVER
760,GROBTEA
761,GRPLTD
762,GRSE
763,GRWRHITECH
764,GSFC
765,GSLSU
766,GSPL
767,GSS
768,GSSAMERICA
769,GTCIND
770,GTECJAINX
771,GTL
772,GTLINFRA
773,GTPL
774,GUFICBIO
775,GUJALKALI
776,GUJAMBCEM
777,GUJAPOLIND
778,GUJAPOLLO
779,GUJFLUORO
780,GUJGASLTD
781,GUJRAFFIA
782,GULFCORP
783,GULFPETRO
784,GULPOLY
785,GVKPIL
786,GVPTECH
787,GWALCHEM
788,HAL
789,HAPPSTMNDS
790,HARDWYN
791,HARIOMPIPE
792,HARRMALAYA
793,HARSHA
794,HATHWAY
795,HATSUN
796,HAVELLS
797,HAVISHA
798,HBANKETF
799,HBLPOWER
800,HBSL
801,HCC
802,HCG
803,HCIL
804,HCL-HP
805,HCL-INSYS
806,HCLTECH
807,HDFCAMC
808,HDFCBANK
809,HDFCGOLD
810,HDFCLIFE
811,HDFCMFGETF
812,HDFCNIFBAN
813,HDFCNIFETF
814,HDFCNIFTY
815,HDFCSENETF
816,HDFCSENSEX
817,HDIL
818,HEADSUP
819,HEG
820,HEIDELBERG
821,HEMIPROP
822,HERANBA
823,HERCULES
824,HERITGFOOD
825,HEROHONDA
826,HEROMOTOCO
827,HESTERBIO
828,HEUBACHIND
829,HEXATRADEX
830,HFCL
831,HGINFRA
832,HGS
833,HGSL
834,HIKAL
835,HIL
836,HILTON
837,HIMATSEIDE
838,HINDALC0
839,HINDALCO
840,HINDCOMPOS
841,HINDCON
842,HINDCONS
843,HINDCOPPER
844,HINDLEVER
845,HINDMOTORS
846,HINDNATGLS
847,HINDOILEXP
848,HINDPETRO
849,HINDSANIT
850,HINDUJATMT
851,HINDUJAVEN
852,HINDUNILVR
853,HINDWAREAP
854,HINDZINC
855,HIRECT
856,HISARMETAL
857,HITACHIHOM
858,HITECH
859,HITECHCORP
860,HITECHGEAR
861,HITECHPLAS
862,HLEGLAS
863,HLVLTD
864,HMAAGRO
865,HMT
866,HMVL
867,HNDFDS
868,HNGSNGBEES
869,HOMEFIRST
870,HONASA
871,HONAUT
872,HONDAPOWER
873,HOPFL
874,HOTELEELA
875,HOTELRUGBY
876,HOVS
877,HPAL
878,HPIL
879,HPL
880,HSCL
881,HSIL
882,HTMEDIA
883,HTMTGLOBAL
884,HUBTOWN
885,HUDCO
886,HUGHESTELE
887,HUHTAMAKI
888,HYBRIDFIN
889,HYDRBADIND
890,I-FLEX
891,IBIPL
892,IBMFNIFTY
893,IBN18
894,IBPOW
895,IBREALEST
896,IBSEC
897,IBULHSGFIN
898,IBULISL
899,IBVENTURES
900,IBWSL
901,ICCNX100
902,ICDSLTD
903,ICEMAKE
904,ICI
905,ICICI500
906,ICICIALPLV
907,ICICIB22
908,ICICIBANK
909,ICICIBANKN
910,ICICIBANKP
911,ICICIGI
912,ICICIGOLD
913,ICICILIQ
914,ICICILOVOL
915,ICICIM150
916,ICICIMCAP
917,ICICINF100
918,ICICINIFTY
919,ICICINV20
920,ICICINXT50
921,ICICIPRULI
922,ICICISENSX
923,ICICITECH
924,ICIL
925,ICNX100
926,ICRA
927,IDBI
928,IDBIGOLD
929,IDEA
930,IDEAFORGE
931,IDFC
